##
#
"460554240","460587007","KR","KOR","Korea Republic of"
"460587008","460591103","JP","JPN","Japan"
"460591104","460593151","IN","IND","India"
"460593152","460595199","JP","JPN","Japan"
"460595200","460596223","IN","IND","India"
"460596224","460597247","AU","AUS","Australia"
"460597248","460598271","JP","JPN","Japan"
"460598272","460599295","CN","CHN","China"
"460599296","460601343","IN","IND","India"
"460601344","460602367","AF","AFG","Afghanistan"
"460602368","460603391","KH","KHM","Cambodia"
"460603392","460718079","KR","KOR","Korea Republic of"
"460718080","460722175","JP","JPN","Japan"
"460722176","460726271","VN","VNM","Viet Nam"
"460726272","460734463","IN","IND","India"
"460734464","460865535","KR","KOR","Korea Republic of"
"460865536","460931071","JP","JPN","Japan"
"460931072","460933119","AU","AUS","Australia"
"460933120","460935167","CN","CHN","China"
"460935168","460937215","ID","IDN","Indonesia"
"460937216","460938239","NZ","NZL","New Zealand"
"460938240","460939263","JP","JPN","Japan"
"460939264","460940287","NZ","NZL","New Zealand"
"460940288","460941311","IN","IND","India"
"460941312","460942335","AU","AUS","Australia"
"460942336","460943359","MY","MYS","Malaysia"
"460943360","460945407","AU","AUS","Australia"
"460945408","460947455","CN","CHN","China"
"460947456","460980223","JP","JPN","Japan"
"460980224","460981247","NC","NCL","New Caledonia"
"460981248","460983295","JP","JPN","Japan"
"460983296","460984319","HK","HKG","Hong Kong"
"460984320","460988415","PG","PNG","Papua New Guinea"
"460988416","460994559","JP","JPN","Japan"
"460994560","460995583","MY","MYS","Malaysia"
"460995584","460996607","SG","SGP","Singapore"
"460996608","461008895","JP","JPN","Japan"
"461008896","461012991","AU","AUS","Australia"
"461012992","461045759","KR","KOR","Korea Republic of"
"461045760","461047807","ID","IDN","Indonesia"
"461047808","461049855","JP","JPN","Japan"
"461049856","461050879","TH","THA","Thailand"
"461050880","461051903","NZ","NZL","New Zealand"
"461051904","461053951","AU","AUS","Australia"
"461053952","461062143","HK","HKG","Hong Kong"
"461062144","461078527","IN","IND","India"
"461078528","461094911","FJ","FJI","Fiji"
"461094912","461099007","HK","HKG","Hong Kong"
"461099008","461100031","JP","JPN","Japan"
"461100032","461101055","MN","MNG","Mongolia"
"461101056","461102079","IN","IND","India"
"461102080","461103103","ID","IDN","Indonesia"
"461103104","461111295","PH","PHL","Philippines"
"461111296","461127679","IN","IND","India"
"461127680","461131775","PH","PHL","Philippines"
"461131776","461135871","ID","IDN","Indonesia"
"461135872","461144063","AU","AUS","Australia"
"461144064","461209599","KR","KOR","Korea Republic of"
"461209600","461225983","SG","SGP","Singapore"
"461225984","461227007","WF","WLF","Wallis and Futuna Islands"
"461227008","461228031","SG","SGP","Singapore"
"461228032","461229055","IN","IND","India"
"461229056","461230079","JP","JPN","Japan"
"461230080","461234175","AU","AUS","Australia"
"461234176","461242367","MY","MYS","Malaysia"
"461242368","461258751","KR","KOR","Korea Republic of"
"461258752","461279231","JP","JPN","Japan"
"461279232","461281279","AU","AUS","Australia"
"461281280","461282303","PH","PHL","Philippines"
"461282304","461283327","MY","MYS","Malaysia"
"461283328","461287423","JP","JPN","Japan"
"461287424","461307903","HK","HKG","Hong Kong"
"461307904","461357055","JP","JPN","Japan"
"461357056","461369343","AU","AUS","Australia"
"461369344","461373439","JP","JPN","Japan"
"461373440","461504511","CN","CHN","China"
"461504512","461570047","TH","THA","Thailand"
"461570048","461572095","ID","IDN","Indonesia"
"461572096","461573119","JP","JPN","Japan"
"461573120","461574143","BD","BGD","Bangladesh"
